,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
141,btc,2019-12-31T00:00:00.000000000Z,657164,93333320.1905558,7229.3971006429,289968
142,btc,2020-01-01T00:00:00.000000000Z,524360,112929774.50430365,7167.39505464641,251867
143,btc,2020-01-02T00:00:00.000000000Z,671016,96717718.31238091,7170.63186879018,291935
144,btc,2020-01-03T00:00:00.000000000Z,721747,115924073.72193182,6946.82526914085,323153
145,btc,2020-01-04T00:00:00.000000000Z,611397,115238132.457305,7315.3093603156,282301
146,btc,2020-01-05T00:00:00.000000000Z,597061,111808426.13417092,7343.16419438925,288212
147,btc,2020-01-06T00:00:00.000000000Z,724219,92602070.72462001,7345.53069181765,297843
148,btc,2020-01-07T00:00:00.000000000Z,775757,120725662.57431954,7765.7977346581,347212
149,btc,2020-01-08T00:00:00.000000000Z,754553,97403659.57700774,8136.08684190532,318633
150,btc,2020-01-09T00:00:00.000000000Z,773570,107692778.54641,8059.69952887201,322838
151,btc,2020-01-10T00:00:00.000000000Z,792103,102205248.42939548,7817.13609322034,332463
152,btc,2020-01-11T00:00:00.000000000Z,640445,111808426.13417092,8129.81791992987,303555
153,btc,2020-01-12T00:00:00.000000000Z,581504,103577130.9586491,8032.00549503215,278853
154,btc,2020-01-13T00:00:00.000000000Z,705443,98089600.84163456,8164.54999316189,299786
155,btc,2020-01-14T00:00:00.000000000Z,850757,99850250.9686384,8121.92566762127,346978
156,btc,2020-01-15T00:00:00.000000000Z,759192,110915119.36618419,8830.16787346581,328833
157,btc,2020-01-16T00:00:00.000000000Z,739283,116791417.08094886,8811.44820251315,326587
158,btc,2020-01-17T00:00:00.000000000Z,756728,116791417.08094886,8718.68699801286,323884
159,btc,2020-01-18T00:00:00.000000000Z,649187,96958912.29361789,8912.54190414962,290970
160,btc,2020-01-19T00:00:00.000000000Z,622774,110180582.1518386,8928.1807565751,282105
161,btc,2020-01-20T00:00:00.000000000Z,741539,111649656.58052978,8687.35483664524,312967
162,btc,2020-01-21T00:00:00.000000000Z,756250,112384193.79487537,8636.2587862069,311835
163,btc,2020-01-22T00:00:00.000000000Z,771727,114587805.43791209,8730.86756019871,326380
164,btc,2020-01-23T00:00:00.000000000Z,789764,116791417.08094886,8647.90047399182,337280
165,btc,2020-01-24T00:00:00.000000000Z,720051,111649656.58052978,8366.38461396844,311823
166,btc,2020-01-25T00:00:00.000000000Z,665971,120464103.15267676,8423.39095815313,283292
167,btc,2020-01-26T00:00:00.000000000Z,544915,105038821.65141945,8344.77456896552,256739
168,btc,2020-01-27T00:00:00.000000000Z,726725,94755300.65058112,8573.87480958504,285400
169,btc,2020-01-28T00:00:00.000000000Z,812560,107492950.68599442,8901.95928486265,339784
170,btc,2020-01-29T00:00:00.000000000Z,767507,123011831.71279211,9297.3883176505,340075
171,btc,2020-01-30T00:00:00.000000000Z,765495,119936535.91997233,9311.94754354179,332584
172,btc,2020-01-31T00:00:00.000000000Z,762130,110710648.54151301,9508.92096493279,329369
173,btc,2020-02-01T00:00:00.000000000Z,743933,116092416.17894764,9357.28478240795,304884
174,btc,2020-02-02T00:00:00.000000000Z,706042,109941824.59330806,9381.88602863822,292383
175,btc,2020-02-03T00:00:00.000000000Z,879860,113785944.3343328,9339.38706312098,336226
176,btc,2020-02-04T00:00:00.000000000Z,764885,101484761.16305356,9279.81252051432,307816
177,btc,2020-02-05T00:00:00.000000000Z,823713,122243007.76458718,9161.62719772063,363153
178,btc,2020-02-06T00:00:00.000000000Z,765225,103791233.00766842,9628.13677586207,321928
179,btc,2020-02-07T00:00:00.000000000Z,865396,106866528.80048823,9739.2804364699,333319
180,btc,2020-02-08T00:00:00.000000000Z,709380,106866528.80048823,9800.27939982466,315526
181,btc,2020-02-09T00:00:00.000000000Z,695691,117630064.07535753,9911.29340841613,318974
182,btc,2020-02-10T00:00:00.000000000Z,703356,93796521.681004,10151.0832026885,295461
183,btc,2020-02-11T00:00:00.000000000Z,885934,114210895.7545908,9872.36187305669,361869
184,btc,2020-02-12T00:00:00.000000000Z,822547,109742275.1892226,10272.2225558738,350973
185,btc,2020-02-13T00:00:00.000000000Z,815808,108969442.26535484,10360.1352229106,336765
186,btc,2020-02-14T00:00:00.000000000Z,741471,104332444.72214827,10235.4973226184,329123
187,btc,2020-02-15T00:00:00.000000000Z,736640,109742275.1892226,10361.6156901812,316931
188,btc,2020-02-16T00:00:00.000000000Z,655188,109742275.1892226,9911.72432700175,299527
189,btc,2020-02-17T00:00:00.000000000Z,773751,121334769.04723918,9952.04661157218,337935
190,btc,2020-02-18T00:00:00.000000000Z,783570,115924938.58016479,9683.0796277031,327054
191,btc,2020-02-19T00:00:00.000000000Z,792783,108969442.26535484,10195.3037904734,340104
192,btc,2020-02-20T00:00:00.000000000Z,766448,97376948.40733843,9636.00229865576,311982
193,btc,2020-02-21T00:00:00.000000000Z,768521,119016270.27563587,9614.03012244302,341390
194,btc,2020-02-22T00:00:00.000000000Z,660812,114379272.73242924,9701.79750268849,300166
195,btc,2020-02-23T00:00:00.000000000Z,622397,109742275.1892226,9675.24905756868,289114
196,btc,2020-02-24T00:00:00.000000000Z,758122,108969442.26535484,9972.84242308591,328045
197,btc,2020-02-25T00:00:00.000000000Z,743278,111005384.3400511,9648.00788310929,339313
198,btc,2020-02-26T00:00:00.000000000Z,778003,104700775.42728595,9344.28714009351,328537
199,btc,2020-02-27T00:00:00.000000000Z,777389,113169220.49861053,8798.88894856809,338194
